"locus","Freq","Status"
"Mnov_gtseq_110",43,"Accept"
"Mnov_gtseq_140",5,"Accept"
"Mnov_gtseq_155",4,"Accept"
"Mnov_gtseq_160",6,"Accept"
"Mnov_gtseq_174",6,"Accept"
"Mnov_gtseq_197",14,"Accept"
"Mnov_gtseq_21",8,"Accept"
"Mnov_gtseq_219",19,"Accept"
"Mnov_gtseq_23",8,"Accept"
"Mnov_gtseq_235",7,"Accept"
"Mnov_gtseq_236",3,"Accept"
"Mnov_gtseq_241",9,"Accept"
"Mnov_gtseq_245",3,"Accept"
"Mnov_gtseq_251",6,"Accept"
"Mnov_gtseq_28",25,"Accept"
"Mnov_gtseq_318",6,"Accept"
"Mnov_gtseq_359",5,"Accept"
"Mnov_gtseq_395",12,"Accept"
"Mnov_gtseq_410",5,"Accept"
"Mnov_gtseq_44",4,"Accept"
"Mnov_gtseq_45",5,"Accept"
"Mnov_gtseq_474",110,"Accept"
"Mnov_gtseq_502",4,"Accept"
"Mnov_gtseq_51",5,"Accept"
"Mnov_gtseq_517",5,"Accept"
"Mnov_gtseq_549",4,"Accept"
"Mnov_gtseq_64",19,"Accept"
"Mnov_gtseq_71",6,"Accept"
