"","locus","ave.entropy","n.alleles","min.rd","min.ar","max.ar.hm","min.ar.hz","status","comment"
"1","ALL","NA",2,10,0.43,0.43,0.5,"NA",""
"2","Mnov_gtseq_1","0",2,10,0.43,0.43,0.5,"Accept",""
"3","Mnov_gtseq_10","0",2,10,0.43,0.43,0.5,"Accept",""
"4","Mnov_gtseq_102","0",2,10,0.43,0.43,0.5,"Accept",""
"5","Mnov_gtseq_104","0",2,10,0.43,0.43,0.5,"Accept",""
"6","Mnov_gtseq_106","0",2,10,0.43,0.43,0.5,"Accept",""
"7","Mnov_gtseq_107","0",2,10,0.43,0.43,0.5,"Accept",""
"8","Mnov_gtseq_110","0",2,10,0.43,0.43,0.5,"Accept",""
"9","Mnov_gtseq_111","0",2,10,0.43,0.43,0.5,"Accept",""
"10","Mnov_gtseq_112","0",2,10,0.43,0.43,0.5,"Accept",""
"11","Mnov_gtseq_113","0",2,10,0.43,0.43,0.5,"Accept",""
"12","Mnov_gtseq_114","0",2,10,0.43,0.43,0.5,"Reject",""
"13","Mnov_gtseq_115","0",2,10,0.43,0.43,0.5,"Accept",""
"14","Mnov_gtseq_116","0",2,10,0.43,0.43,0.5,"Accept",""
"15","Mnov_gtseq_117","0",2,10,0.43,0.43,0.5,"Accept",""
"16","Mnov_gtseq_118","0",2,10,0.43,0.43,0.5,"Accept",""
"17","Mnov_gtseq_12","0",2,10,0.43,0.43,0.5,"Accept",""
"18","Mnov_gtseq_124","0",2,10,0.43,0.43,0.5,"Accept",""
"19","Mnov_gtseq_125","0",2,10,0.43,0.43,0.5,"Accept",""
"20","Mnov_gtseq_126","0",2,10,0.43,0.43,0.5,"Accept",""
"21","Mnov_gtseq_127","0",2,10,0.43,0.43,0.5,"Accept",""
"22","Mnov_gtseq_128","0",2,10,0.43,0.43,0.5,"Accept",""
"23","Mnov_gtseq_129","0",2,10,0.43,0.43,0.5,"Accept",""
"24","Mnov_gtseq_13","0",2,10,0.43,0.43,0.5,"Accept",""
"25","Mnov_gtseq_130","0",2,10,0.43,0.43,0.5,"Accept",""
"26","Mnov_gtseq_135","0",2,10,0.43,0.43,0.5,"Accept",""
"27","Mnov_gtseq_138","0",2,10,0.43,0.43,0.5,"Accept",""
"28","Mnov_gtseq_139","0",2,10,0.43,0.43,0.5,"Reject",""
"29","Mnov_gtseq_140","0",2,10,0.43,0.43,0.5,"Accept",""
"30","Mnov_gtseq_141","0",2,10,0.43,0.43,0.5,"Accept",""
"31","Mnov_gtseq_143","0",2,10,0.43,0.43,0.5,"Accept",""
"32","Mnov_gtseq_144","0",2,10,0.43,0.43,0.5,"Accept",""
"33","Mnov_gtseq_145","0",2,10,0.43,0.43,0.5,"Accept",""
"34","Mnov_gtseq_148","0",2,10,0.43,0.43,0.5,"Accept",""
"35","Mnov_gtseq_149","0",2,10,0.43,0.43,0.5,"Accept",""
"36","Mnov_gtseq_15","0",2,10,0.43,0.43,0.5,"Accept",""
"37","Mnov_gtseq_151","0",2,10,0.43,0.43,0.5,"Accept",""
"38","Mnov_gtseq_152","0",2,10,0.43,0.43,0.5,"Accept",""
"39","Mnov_gtseq_154","0",2,10,0.43,0.43,0.5,"Accept",""
"40","Mnov_gtseq_155","0",2,10,0.43,0.43,0.5,"Accept",""
"41","Mnov_gtseq_157","0",2,10,0.43,0.43,0.5,"Accept",""
"42","Mnov_gtseq_158","0",2,10,0.43,0.43,0.5,"Accept",""
"43","Mnov_gtseq_159","0",2,10,0.43,0.43,0.5,"Accept",""
"44","Mnov_gtseq_16","0",2,10,0.43,0.43,0.5,"Accept",""
"45","Mnov_gtseq_160","0",2,10,0.43,0.43,0.5,"Accept",""
"46","Mnov_gtseq_161","0",2,10,0.43,0.43,0.5,"Accept",""
"47","Mnov_gtseq_162","0",2,10,0.43,0.43,0.5,"Accept",""
"48","Mnov_gtseq_166","0",2,10,0.43,0.43,0.5,"Accept",""
"49","Mnov_gtseq_167","0",2,10,0.43,0.43,0.5,"Accept",""
"50","Mnov_gtseq_17","0",2,10,0.43,0.43,0.5,"Accept",""
"51","Mnov_gtseq_170","0",2,10,0.43,0.43,0.5,"Accept",""
"52","Mnov_gtseq_174","0",2,10,0.43,0.43,0.5,"Accept",""
"53","Mnov_gtseq_180","0",2,10,0.43,0.43,0.5,"Accept",""
"54","Mnov_gtseq_182","0",2,10,0.43,0.43,0.5,"Reject",""
"55","Mnov_gtseq_187","0",2,10,0.43,0.43,0.5,"Accept",""
"56","Mnov_gtseq_188","0",2,10,0.43,0.43,0.5,"Accept",""
"57","Mnov_gtseq_189","0",2,10,0.43,0.43,0.5,"Accept",""
"58","Mnov_gtseq_19","0",2,10,0.43,0.43,0.5,"Accept",""
"59","Mnov_gtseq_190","0",2,10,0.43,0.43,0.5,"Accept",""
"60","Mnov_gtseq_191","0",2,10,0.43,0.43,0.5,"Accept",""
"61","Mnov_gtseq_192","0",2,10,0.43,0.43,0.5,"Accept",""
"62","Mnov_gtseq_193","0",2,10,0.43,0.43,0.5,"Accept",""
"63","Mnov_gtseq_195","0",2,10,0.43,0.43,0.5,"Accept",""
"64","Mnov_gtseq_196","0",2,10,0.43,0.43,0.5,"Accept",""
"65","Mnov_gtseq_197","0",2,10,0.43,0.43,0.5,"Accept",""
"66","Mnov_gtseq_2","0",2,10,0.43,0.43,0.5,"Accept",""
"67","Mnov_gtseq_20","0",2,10,0.43,0.43,0.5,"Accept",""
"68","Mnov_gtseq_200","0",2,10,0.43,0.43,0.5,"Accept",""
"69","Mnov_gtseq_201","0",2,10,0.43,0.43,0.5,"Accept",""
"70","Mnov_gtseq_202","0",2,10,0.43,0.43,0.5,"Accept",""
"71","Mnov_gtseq_203","0",2,10,0.43,0.43,0.5,"Accept",""
"72","Mnov_gtseq_204","0",2,10,0.43,0.43,0.5,"Accept",""
"73","Mnov_gtseq_205","0",2,10,0.43,0.43,0.5,"Accept",""
"74","Mnov_gtseq_206","0",2,10,0.43,0.43,0.5,"Accept",""
"75","Mnov_gtseq_208","0",2,10,0.43,0.43,0.5,"Accept",""
"76","Mnov_gtseq_209","0",2,10,0.43,0.43,0.5,"Accept",""
"77","Mnov_gtseq_21","0",2,10,0.43,0.43,0.5,"Accept",""
"78","Mnov_gtseq_210","0",2,10,0.43,0.43,0.5,"Accept",""
"79","Mnov_gtseq_211","0",2,10,0.43,0.43,0.5,"Accept",""
"80","Mnov_gtseq_213","0",2,10,0.43,0.43,0.5,"Accept",""
